ti_id,titel,vols,jaar,druk,ppn_o,bibliotheek,categorie,_jaar,pers_id,voornaam,voorvoegsel,achternaam,jaar_geboren,jaar_overlijden,geb_datum,overl_datum,geb_plaats,overl_plaats,geb_plaats_code,geb_land_code,overl_plaats_code,overl_land_code,vrouw,url,text_url,maand,genre,
barl001svan01,Mercator Sapiens,,1632.0,1ste druk,,,1,1632,barl001,C.,,Barlaeus,1584,1648,12 februari,14 januari,Antwerpen,Amsterdam,antwe001,,amste001,,0,https://dbnl.org/tekst/barl001svan01_01,,,proza,
bay_001leve02,'t Leven en bedrijf van Duc D'Albas hondt; en 't Pirinesche tooverhol,,1658.0,1ste druk,,,1,1658,bay_001,Guilliam,de,Bay,?(17de eeuw),?,,,,,,,,,0,https://dbnl.org/tekst/bay_001leve02_01,,,proza,
berg404cath01,Catholiicke catechismvs ofte Cort ondervviis vande christelycke leeringhe,,1622.0,1ste druk,,denha004koni01,1,1622,berg404,Christiaen,van den,Berghe,?(16de eeuw),,,,,,,,,,0,https://dbnl.org/tekst/berg404cath01_01,,,proza,
bidl001brie01,Brieven der gemartelde apostelen,,1675.0,1ste druk,393211355,denha004koni01,1,1675,bidl001,Govert,,Bidloo,1649,1713,12 maart,30 maart,Amsterdam,Leiden,amste001,,leide001,,0,https://dbnl.org/tekst/bidl001brie01_01,https://dbnl.org/nieuws/text.php?id=bidl001brie01,2014_10   ,proza,
bie_001sedi01,Den sedighen toet-steen,,1689.0,1ste druk,416646204,gent_001univ01,1,1689,bie_001,Cornelis,de,Bie,1627,ca. 1715,10 februari,,Lier,Lier,lier_001,,lier_001,,0,https://dbnl.org/tekst/bie_001sedi01_01,https://dbnl.org/nieuws/text.php?id=bie_001sedi01,2018_01   ,proza,
bols002duyf02,Duyfkens ende Willemynkens Pelgrimagie tot haren beminden binnen Ierusalem,,1656.0,?,403848237,antwe001erfg01,3,1656,bols002,Boëtius Adamszoon,à,Bolswert,ca. 1580,1633,,25 maart,Bolsward,Antwerpen,bolsw001,,antwe001,,0,https://dbnl.org/tekst/bols002duyf02_01,https://dbnl.org/nieuws/text.php?id=bols002duyf02,2016_03   ,proza,
bont009gebr01,Gebruik en Mis-bruik van de Thee,,1686.0,1ste druk,394963687,gent_001univ01,1,1686,blan012,Steven,,Blankaart,1650,1702,24 oktober,23 februari,Middelburg,Amsterdam,midde009,,amste001,,0,https://dbnl.org/tekst/bont009gebr01_01,https://dbnl.org/nieuws/text.php?id=bont009gebr01,2014_05   ,proza,
bont009gebr01,Gebruik en Mis-bruik van de Thee,,1686.0,1ste druk,394963687,gent_001univ01,1,1686,bont009,Cornelis,,Bontekoe,1645,1685,,14 januari,Alkmaar,Berlijn,alkma001,,,duits01,0,https://dbnl.org/tekst/bont009gebr01_01,https://dbnl.org/nieuws/text.php?id=bont009gebr01,2014_05   ,proza,
boxh002embl02,Emblemata politica,,1651.0,?,416646751,,3,1651,boxh002,Marcus Zuerius,van,Boxhorn,1612,1653,28 augustus,3 oktober,Bergen op Zoom,Leiden,berge003,,leide001,,0,https://dbnl.org/tekst/boxh002embl02_01,https://dbnl.org/nieuws/text.php?id=boxh002embl02,2018_01   ,proza,
breu004lust01,De tweede vijftigh lustige historien ofte nieuwigheden Johannis Boccatii,,1644.0,?,394963490,amste001univ01,3,1644,breu004,Gerrit Hendricksz.,van,Breughel,ca. 1573,1635,,5 januari,Antwerpen,Amsterdam,antwe001,belgi01,amste001,,0,https://dbnl.org/tekst/breu004lust01_01,https://dbnl.org/nieuws/text.php?id=breu004lust01,2004_04   ,proza,
brun001embl01,Emblemata of Zinne-werck,,1624.0,1ste druk,,,1,1624,brun001,Johan,de,Brune (de Oude),1588,1658,29 mei,7 november,Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun001embl01_01,,2006_11   ,proza,
brun001embl02,Emblemata of Zinne-werck,,1636.0,2de druk,394968611,amste001univ01,3,1636,brun001,Johan,de,Brune (de Oude),1588,1658,29 mei,7 november,Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun001embl02_01,https://dbnl.org/nieuws/text.php?id=brun001embl02,,proza,
brun001embl03,Emblemata of Zinne-werck,,1661.0,2de druk,400381605,glasg001univ01,3,1661,brun001,Johan,de,Brune (de Oude),1588,1658,29 mei,7 november,Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun001embl03_01,https://dbnl.org/nieuws/text.php?id=brun001embl03,,proza,
brun001gron01,De grondsteenen van een vaste regieringe,,1621.0,1ste druk,,denha004koni01,1,1621,brun001,Johan,de,Brune (de Oude),1588,1658,29 mei,7 november,Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun001gron01_01,https://dbnl.org/nieuws/text.php?id=brun001gron01,2020_12   ,proza,
brun001prov01,"Proverbia, of, de spreucken van Salomon",,1619.0,1ste druk,,leide001univ01,1,1619,brun001,Johan,de,Brune (de Oude),1588,1658,29 mei,7 november,Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun001prov01_01,https://dbnl.org/nieuws/text.php?id=brun001prov01,2020_06   ,proza,
brun002wets01,Wetsteen der vernuften,,1644.0,1ste druk,394960041,denha004koni01,1,1644,brun002,Johan,de,Brune (de Jonge),1616,1649,10 juli,22 oktober (begraven),Middelburg,Middelburg,midde009,,midde009,,0,https://dbnl.org/tekst/brun002wets01_01,https://dbnl.org/nieuws/text.php?id=brun002wets01,2013_12   ,proza,
cani009cate01,"Catechismus, in korte vraghen vnd antwort ghestelt. By Petrus Canisius",,1629.0,1ste druk,,denha004koni01,1,1629,cani009,Petr.,,Canisius,1521,1597,8 mei,21 december,Nijmegen,Freiburg,nijme001,,,zwits01,0,https://dbnl.org/tekst/cani009cate01_01,,,proza,
carp002verh01,Verhael-boecken van den cardinael Bentivoglio,,1648.0,1ste druk,39347559X,leide001dbnl01,1,1648,carp002,Roeland,de,Carpentier,1620,1670,31 december,26 april,Dordrecht,Dordrecht,dordr001,,dordr001,,0,https://dbnl.org/tekst/carp002verh01_01,https://dbnl.org/nieuws/text.php?id=carp002verh01,2009_07   ,proza,
cats001prot01,Proteus of Sinne- en minnebeelden en Galathea,,1627.0,1ste druk,,,1,1627,cats001,Jacob,,Cats,1577,1660,10 november,12 september,Brouwershaven,Den Haag,brouw001,,denha004,,0,https://dbnl.org/tekst/cats001prot01_01,,,proza,
cats001sile01,"Silenus Alcibiadis, sive Proteus",,1618.0,1ste druk,39497607X,losan001gett01,1,1618,cats001,Jacob,,Cats,1577,1660,10 november,12 september,Brouwershaven,Den Haag,brouw001,,denha004,,0,https://dbnl.org/tekst/cats001sile01_01,https://dbnl.org/nieuws/text.php?id=cats001sile01,2014_11   ,proza,
davi002occa01,Occasio arrepta. Neglecta,,1605.0,1ste druk,,munch001baye01,1,1605,davi002,Jan,,David,1546,1613,,9 augustus,Kortrijk,Antwerpen,kortr001,,antwe001,,0,https://dbnl.org/tekst/davi002occa01_01,https://dbnl.org/nieuws/text.php?id=davi002occa01,2022_12   ,proza,
door040rype01,"Den Ryper zee-postil, bestaende in XXII. Predicatien toegepast op den zeevaert",,1699.0,1ste druk,409102911,amste001univ01,1,1699,door040,E. Az.,van,Dooregeest,1645,1706,26 december,16 augustus,Dorregeest,De Rijp,dorre001,,derij001,,0,https://dbnl.org/tekst/door040rype01_01,https://dbnl.org/nieuws/text.php?id=door040rype01,2017_01   ,proza,
door040rype01,"Den Ryper zee-postil, bestaende in XXII. Predicatien toegepast op den zeevaert",,1699.0,1ste druk,409102911,amste001univ01,1,1699,posj001,C.A.,,Posjager,?(17de eeuw),ca. 1730,,,,,,,,,0,https://dbnl.org/tekst/door040rype01_01,https://dbnl.org/nieuws/text.php?id=door040rype01,2017_01   ,proza,
duij002verv01,Vervolg van 't leven van Philopater,,1697.0,1ste druk,,,1,1697,duij002,Johannes,,Duijkerius,ca. 1661,1702,,,Amsterdam,Berkel,amste001,,berke003,,0,https://dbnl.org/tekst/duij002verv01_01,,,proza,
fyne001kley01,"Een kleyn monstertjen, met een warachtich verhael",,1625.0,1ste druk,421511362,gent_001univ01,1,1625,fyne001,Passchier,de,Fyne,1588,1667,31 januari,27 oktober (begraven),Leiden,Haarlem,leide001,,haarl001,,0,https://dbnl.org/tekst/fyne001kley01_01,https://dbnl.org/nieuws/text.php?id=fyne001kley01,2018_09   ,proza,
hard001godd01,Goddelicke lof-sanghen,,1620.0,1ste druk,393477223,denha004koni01,1,1620,hard001,Justus,de,Harduwijn,1582,1636,11 april,9 mei,Gent,Oudegem,gent_001,,oudeg004,,0,https://dbnl.org/tekst/hard001godd01_01,https://dbnl.org/nieuws/text.php?id=hard001godd01,2012_10   ,proza,
hard001godd02,Goddelycke wenschen,,1629.0,1ste druk,393477231,leeuw001tres01,1,1629,hard001,Justus,de,Harduwijn,1582,1636,11 april,9 mei,Gent,Oudegem,gent_001,,oudeg004,,0,https://dbnl.org/tekst/hard001godd02_01,https://dbnl.org/nieuws/text.php?id=hard001godd02,2007_04   ,proza,
