ti_id,titel,vols,jaar,druk,ppn_o,bibliotheek,categorie,_jaar,pers_id,voornaam,voorvoegsel,achternaam,jaar_geboren,jaar_overlijden,geb_datum,overl_datum,geb_plaats,overl_plaats,geb_plaats_code,geb_land_code,overl_plaats_code,overl_land_code,vrouw,url,text_url,maand,genre,Unnamed: 28,jaar_numeric
acke012eleg01,"Elegia ad eruditum et reverendum juvenem theologum, Petrum Marinum van Baak",,1796,1ste druk,393474380,denha004koni01,1,1796,acke012,Vopiscus Horatius,,Acker,1751,1831,21 mei,februari,Leeuwarden,Oldebroek,leeuw001,,oldeb003,,0,https://dbnl.org/tekst/acke012eleg01_01,https://dbnl.org/nieuws/text.php?id=acke012eleg01,,poëzie,,1796.0
aker002clee01,Den Cleefschen Pegasus,,1654,1ste druk,,leide001univ01,1,1654,aker002,Maria-Margareta,van,Akerlaecken,1605,na 1662,februari,,Dordrecht,Antwerpen?,dordr001,,antwe001,,1,https://dbnl.org/tekst/aker002clee01_01,https://dbnl.org/nieuws/text.php?id=aker002clee01,2020_06   ,poëzie,,1654.0
alph002klei15,Kleine gedichten voor kinderen,,1798,?,393176118,haarl001stad01,3,1798,alph002,Hieronymus,van,Alphen,1746,1803,8 augustus,2 april,Gouda,Den Haag,gouda001,,denha004,,0,https://dbnl.org/tekst/alph002klei15_01,,,poëzie,,1798.0
alph002klei16,Kleine gedichten voor kinderen,,1787,?,393176142,haarl001stad01,3,1787,alph002,Hieronymus,van,Alphen,1746,1803,8 augustus,2 april,Gouda,Den Haag,gouda001,,denha004,,0,https://dbnl.org/tekst/alph002klei16_01,,,poëzie,,1787.0
alph002proe06,Proeve van stigtelijke mengel-poëzij. Eerste stukjen,,1783,4de druk,416644554,nijme001univ01,3,1783,alph002,Hieronymus,van,Alphen,1746,1803,8 augustus,2 april,Gouda,Den Haag,gouda001,,denha004,,0,https://dbnl.org/tekst/alph002proe06_01,https://dbnl.org/nieuws/text.php?id=alph002proe06,2017_10   ,poëzie,,1783.0
alph002proe06,Proeve van stigtelijke mengel-poëzij. Eerste stukjen,,1783,4de druk,416644554,nijme001univ01,3,1783,kast001,Pieter Leonard,van de,Kasteele,1748,1810,13 augustus,7 april,Den Haag,Den Haag,denha004,,denha004,,0,https://dbnl.org/tekst/alph002proe06_01,https://dbnl.org/nieuws/text.php?id=alph002proe06,2017_10   ,poëzie,,1783.0
alph002proe08,Proeve van stichtelijke mengel-poëzij. Derde Stukjen,,1782,1ste druk,,nijme001univ01,1,1782,alph002,Hieronymus,van,Alphen,1746,1803,8 augustus,2 april,Gouda,Den Haag,gouda001,,denha004,,0,https://dbnl.org/tekst/alph002proe08_01,https://dbnl.org/nieuws/text.php?id=alph002proe08,2017_10   ,poëzie,,1782.0
alph002proe08,Proeve van stichtelijke mengel-poëzij. Derde Stukjen,,1782,1ste druk,,nijme001univ01,1,1782,kast001,Pieter Leonard,van de,Kasteele,1748,1810,13 augustus,7 april,Den Haag,Den Haag,denha004,,denha004,,0,https://dbnl.org/tekst/alph002proe08_01,https://dbnl.org/nieuws/text.php?id=alph002proe08,2017_10   ,poëzie,,1782.0
alph002proe09,Proeve van stichtelijke mengel-poëzij. Tweede Stukjen,,1776,3de druk,416652425,nijme001univ01,3,1776,alph002,Hieronymus,van,Alphen,1746,1803,8 augustus,2 april,Gouda,Den Haag,gouda001,,denha004,,0,https://dbnl.org/tekst/alph002proe09_01,https://dbnl.org/nieuws/text.php?id=alph002proe09,2017_10   ,poëzie,,1776.0
alph002proe09,Proeve van stichtelijke mengel-poëzij. Tweede Stukjen,,1776,3de druk,416652425,nijme001univ01,3,1776,kast001,Pieter Leonard,van de,Kasteele,1748,1810,13 augustus,7 april,Den Haag,Den Haag,denha004,,denha004,,0,https://dbnl.org/tekst/alph002proe09_01,https://dbnl.org/nieuws/text.php?id=alph002proe09,2017_10   ,poëzie,,1776.0
